Org Name,Grouping
PNBDTA INFO & ADVANCD TCH,P
PNBDTA INFRASTRCT OPR MGM,P
POWER EXECUTIVE OFFICE,P
POWER GIS MAPS & RECORDS,P
POWER SYSTEM SAFETY,P
PRCS REG STDS & COMPL,P
PRCS SPEC & CONTRACT ADMI,P
PREMIER ACCOUNTS,OT
PROJECT MANAGEMENT OFFICE,OT
PROPERTY MANAGEMENT,J
PROTECTION AND CONTROLS,PS
PSED DEVELOPMENT & STDS,PD
PSED DS SUBSTATIONS,PD
PSED EXECUTIVE,PD
PSED HV AC & DC STATIONS,PD
PSED OH TRANSMISSION,PD
PSED RIGHT OF WAY,PD
PSED RS SUBSTATIONS,PD
PSED SOLAR POWER ENGRG,PD
PSED STRUCTURAL ENGRG I,PD
PSED STRUCTURAL ENGRG II,PD
PSED SUBST EQP SPEC & STD,PD
PSP&D EXECUTIVE,OT
PSS&T (SAFETY SERVICES),OT
PSS&T POLICIES & PROCEDUR,OT
PTD ADMINISTRATION,PD
PTD DCM EXMPT CONST,PD
PTD DCM-CONSTRUCTION,PD
PTD DISTRB CONSTR & MAINT,PD
PTD ELECTRIC TROUBLE HQS,PD
PTD OH TRANSMISSION,PD
PTD STREETLIGHT MAINT,PD
PTD T&DSS CONTRACT OPER,PD
PTD UG TRANSMISSION,PD
PWR DSTRBTION SUPP OP #3,PD
PWR SYS-SAFETY/TRAIN-ADM,P
QUALITY SYSTEMS &RESEARCH,J
RATES,J
REAL ESTATE,J
RECORD MGMT - ADMIN,J
RECORD MGMT-RECORDS CTR,J
REMITTANCE PROCESSING CTR,OT
REPAIR & CONSTRUCTION,W
REVENUE SECURITY,J
RISK MANAGEMENT,J
RPDP ADMIN SVCS,J
RPDP EXEC MGMT,J
SAFETY ENGINEERING,J
SCATTRGD GEN STAT-STR 12,PS
SCS - REQUEST <=$150K,J
SECURITY PLANNING,SE
SECURITY SERVICES,SE
SECURITY SVCS EXEC OFFICE,SE
SO DISTRICT ENGRG,WMO
SOIL & MATERIAL TESTING,J
SPECIAL INVESTIGATION,OT
STRAT INTV A ENGY IMB MKT,PEIM
STREETLIGHT MTC-STORE 52,PD
SUBSTATION METERING,P
SURVEY-NORTH,SVN
SURVEYS & RIGHT-OF-WAY,SV
SUSTAINABILITY EXEC,J
SYSTEM PLANNING,OT
TDSS METER ENGINEERING,OT
TDSS METER TEST,OT
TRAINING,J
TRANSFORMER-STORE 96,PD
TRANSMISSION OPERATIONS,PD
"TRANSPORT, MANAGER",T
"TRANSPRT, BISHOP COMM SHOP",TN
"TRANSPRT, BOULDER COMM SHP",TE
"TRANSPRT, METRO COMM SHOP",T
"TRANSPRT, VALLEY CBLE SHOP",T
"TRANSPRT, VALLEY COMM SHOP",T
TREATMENT OPERATIONS,W
TRNSM CONST & MTC-STR 49,PD
"TRNSPRT, METRO CABLE SHOP",T
TRUNK LINE DESIGN,W
TRUNKLINE CONSTRUCTION,W
UG STRT UTLTY COORDNT,J
VALLEY GEN STATION-STR 16,PS
VAN NUYS-STORE 35,PD
WASTEWATER COMPLIANCE,W
WATER CONSERVATION,W
WATER CONSERVATION POLICY,W
WATER DISTRIBTN EXEC OFF,W
WATER DISTRIBUTION SAFETY,W
WATER EXEC OFFICE,W
WATER OPERATIONS,W
WATER OPERATIONS EXEC,W
WATER QUALITY CONTROL,WQ
WATER QUALITY DIVISION,WQ
WATER QUALITY EXEC,WQ
WATER QUALITY LAB OPS.,WQ
WATER RECYCLING PLANNING,W
